Logit_class_0,Logit_class_1
-4.3867188,4.4609375
-4.4804688,4.5585938
-4.3476562,4.3945312
-5.1757812,5.3398438
-5.5,5.5390625
-4.9140625,4.953125
-5.2929688,5.3515625
-4.7617188,4.8007812
-4.8554688,4.9960938
-4.3125,4.3789062
-5.65625,5.6757812
-3.3027344,3.375
-4.9726562,5.0234375
-5.0742188,5.125
-4.2304688,4.3632812
-4.6953125,4.859375
-5.0117188,5.0703125
-4.8125,4.8984375
-5.3007812,5.34375
-4.4414062,4.4570312
-5.7773438,5.8632812
-3.3515625,3.4667969
-5.4375,5.578125
-4.4648438,4.5820312
-1.4443359,1.3886719
-4.9101562,4.9882812
-5.2148438,5.2734375
-4.5742188,4.65625
-4.4921875,4.6015625
-5.3398438,5.46875
-4.0625,4.0859375
-4.9648438,5.0703125
-4.5546875,4.640625
-5.359375,5.390625
-4.796875,4.8554688
-4.4609375,4.4335938
-4.5390625,4.578125
-5.671875,5.7773438
-4.1914062,4.2148438
-3.4101562,3.5488281
-5.3984375,5.5039062
-4.9921875,5.140625
-3.9765625,4.0351562
-3.1875,3.25
-4.3867188,4.5390625
-5.0546875,5.25
-4.8125,4.9414062
-3.4570312,3.5332031
-3.6445312,3.7871094
-5.6875,5.7578125
-5.2773438,5.3164062
-2.0605469,2.140625
-4.6171875,4.6015625
-5.0546875,5.1875
-4.7460938,4.7890625
-3.0625,3.1210938
-2.5917969,2.6660156
-4.1679688,4.25
-5.28125,5.4179688
-4.0117188,4.046875
-4.5351562,4.625
-5.0625,5.21875
-5.3828125,5.4335938
-4.4804688,4.5898438
-4.2109375,4.2421875
-2.4394531,2.4570312
-4.8242188,4.8632812
-5.0039062,5.0546875
-4.8632812,4.9257812
-4.3632812,4.4453125
-4.2421875,4.2421875
-3.5566406,3.6660156
-4.7929688,4.890625
-5.5859375,5.6796875
-4.2070312,4.25
-2.4414062,2.4902344
-4.4765625,4.5117188
-5.3671875,5.4726562
-2.71875,2.7636719
-5.5,5.5820312
-4.9140625,4.9765625
-2.7226562,2.7773438
-5.0898438,5.1015625
-5.2109375,5.2148438
-3.7011719,3.75
-5.2265625,5.3046875
-3.6953125,3.7753906
-5.6992188,5.7421875
-2.4824219,2.5449219
-4.4609375,4.5625
-5.1835938,5.3554688
-4.6757812,4.7460938
-4.921875,5.0273438
-4.3125,4.3789062
-4.9414062,5.0195312
-4.2109375,4.28125
-4.4648438,4.5859375
-4.8789062,4.9296875
-3.4355469,3.5117188
-4.2890625,4.3554688
-3.6953125,3.7871094
-4.2304688,4.3632812
-5.3867188,5.4804688
-4.859375,4.8710938
-5.1796875,5.2421875
-4.1015625,4.2304688
-5.3867188,5.4804688
-4.3671875,4.4960938
-4.8515625,4.875
-4.5742188,4.625
-4.9296875,5.0234375
-4.6054688,4.6914062
-5.6367188,5.59375
-3.6914062,3.6660156
-4.4960938,4.5742188
-4.5664062,4.6484375
-2.7988281,2.8125
-4.8789062,4.890625
-5.3164062,5.4726562
-4.3007812,4.375
-4.6757812,4.7578125
-5.171875,5.2578125
-4.3320312,4.375
-5.1289062,5.1992188
-5.28125,5.359375
-4.484375,4.5820312
-4.9101562,4.9492188
-4.6523438,4.671875
-4.703125,4.7421875
-4.765625,4.828125
-4.4570312,4.4726562
-5.1953125,5.2773438
-4.4492188,4.4882812
-4.5429688,4.6289062
-3.8457031,3.8925781
-4.7929688,4.8867188
-4.15625,4.2617188
-5.0859375,5.1015625
-4.1210938,4.1640625
-5.0078125,5.1015625
-5.3046875,5.421875
-5.140625,5.2460938
-5.2578125,5.3125
-4.7421875,4.7734375
-4.6132812,4.6445312
-5.2109375,5.2539062
-4.3046875,4.3554688
-4.0117188,4.0859375
-5.5078125,5.6914062
-5.3203125,5.3554688
-5.109375,5.2929688
-4.0078125,4.1210938
-5.2304688,5.3125
-4.140625,4.2226562
-5.3867188,5.4101562
-5.7226562,5.78125
-4.8710938,4.921875
-3.7910156,3.7460938
-5.4765625,5.5234375
-4.3320312,4.4335938
-4.7617188,4.7890625
-2.6132812,2.671875
-4.0117188,4.0820312
-4.2148438,4.3085938
-5.296875,5.2929688
-5.484375,5.53125
-4.7734375,4.8359375
-4.9414062,5.03125
-4.6875,4.7226562
-3.8320312,3.890625
-3.6582031,3.8613281
-5.1132812,5.1953125
-5.2109375,5.3125
-3.4863281,3.5644531
-3.1113281,3.0585938
-5.1953125,5.25
-5.453125,5.5429688
-4.4804688,4.5820312
-4.4257812,4.5429688
-5.0742188,5.2265625
-4.0078125,4.1210938
-3.8671875,3.9707031
-4.78125,4.8046875
-4.5703125,4.6328125
-5.2929688,5.3632812
-3.9179688,3.9902344
-4.4804688,4.5742188
-5.2265625,5.3242188
-4.296875,4.3046875
-5.0664062,5.2070312
-5.1132812,5.1914062
-3.953125,4.0117188
-4.9140625,5.0273438
-4.2304688,4.2851562
-4.859375,4.890625
-4.90625,4.9726562
-5.3359375,5.3945312
-4.9609375,5.0742188
-5.5,5.5117188
-4.234375,4.2734375
-4.7109375,4.765625
-4.5117188,4.5742188
-4.03125,4.1679688
-4.1796875,4.2617188
-4.9375,5.1015625
-5.2148438,5.234375
-3.9433594,4.1367188
-2.7792969,2.8242188
-1.1259766,1.1601562
-4.3632812,4.4296875
-3.1972656,3.3222656
-5.0625,5.1601562
-3.4160156,3.5214844
-4.53125,4.5976562
-4.1171875,4.2226562
-4.8515625,4.953125
-4.421875,4.5039062
-5.140625,5.2539062
-5.4453125,5.4882812
-4.6914062,4.6757812
-4.7539062,4.7539062
-4.1953125,4.2773438
-5.640625,5.7421875
-4.359375,4.46875
-3.4238281,3.4804688
-4.5585938,4.6289062
-2.5761719,2.7050781
-4.7265625,4.7539062
-4.9804688,5.0859375
-4.5390625,4.5742188
-2.6660156,2.703125
-2.7832031,2.7480469
-4.796875,4.859375
-5.2734375,5.3398438
-5.0234375,5.1328125
-3.7089844,3.7285156
-4.2460938,4.3828125
-4.7382812,4.8125
-5.140625,5.2265625
-4.734375,4.7734375
-4.9257812,4.953125
-4.1523438,4.1445312
-5.6523438,5.7070312
-4.140625,4.1953125
-5.34375,5.3789062
-4.0039062,4.0585938
-4.6640625,4.6835938
-5.6367188,5.7070312
-4.4648438,4.5664062
-4.4570312,4.609375
-3.8847656,3.9296875
-5.6757812,5.7109375
-5.3203125,5.4492188
-4.2929688,4.359375
-5.0664062,5.0976562
-5.0585938,5.1367188
-5.1914062,5.34375
-4.390625,4.46875
-4.71875,4.7148438
-4.1757812,4.234375
-3.8574219,3.9902344
-4.3046875,4.3789062
-4.453125,4.5273438
-4.65625,4.7421875
-4.8984375,5.0429688
-2.5800781,2.703125
-4.7265625,4.8203125
-4.609375,4.671875
-3.7421875,3.7519531
-3.828125,3.8535156
-5.234375,5.2773438
-4.5390625,4.4804688
-4.515625,4.6523438
-5.5234375,5.5703125
-4.4296875,4.4726562
-4.9414062,5.0273438
-3.515625,3.609375
-5.3710938,5.453125
-4.3359375,4.375
-4.390625,4.5039062
-5.0625,5.1132812
-4.375,4.4375
-4.8476562,4.8398438
-4.4375,4.578125
-4.7929688,4.875
-1.4140625,1.3671875
-4.4257812,4.5
-5.0976562,5.2109375
-1.6787109,1.7617188
-4.6132812,4.7265625
-3.1054688,3.2382812
-4.0625,4.109375
-5.5546875,5.6171875
-4.6523438,4.6679688
-4.8125,4.8984375
-4.109375,4.1835938
-3.796875,3.890625
-5.53125,5.6054688
-4.2148438,4.296875
-4.2539062,4.34375
-4.8515625,4.8867188
-4.453125,4.484375
-3.0566406,3.0371094
-2.7246094,2.7792969
-3.9765625,4.0429688
-5.4492188,5.5117188
-5.2617188,5.3320312
-5.453125,5.5429688
-4.3632812,4.3789062
-5.1328125,5.1914062
-3.8671875,3.9375
-5.0351562,5.0898438
-5.3203125,5.4140625
-4.1484375,4.21875
-4.4257812,4.4648438
-5.0390625,5.1523438
-4.4804688,4.5742188
-5.09375,5.1953125
-2.1582031,2.1796875
-3.6523438,3.7539062
-3.8730469,3.9140625
-4.5273438,4.5976562
-4.765625,4.8828125
-5.734375,5.7539062
-3.3847656,3.5039062
-3.9648438,4.0039062
-4.1015625,4.1679688
-4.5742188,4.6875
-4.2578125,4.3476562
-4.46875,4.5429688
-3.9433594,4.0273438
-4.4726562,4.6484375
-4.8867188,4.9960938
-2.4257812,2.515625
-5.078125,5.1640625
-4.3867188,4.4765625
-4.140625,4.2578125
-4.1445312,4.2929688
-4.375,4.4414062
-5.1640625,5.28125
-4.6601562,4.734375
-3.5097656,3.5800781
-4.7851562,4.8554688
-4.6914062,4.7929688
-4.78125,4.8984375
-5.1015625,5.1523438
-4.3945312,4.4570312
-5.4335938,5.5117188
-4.6210938,4.6796875
-4.1953125,4.3320312
-5.21875,5.3320312
-5.640625,5.6914062
-5.28125,5.3789062
-4.4570312,4.578125
-5.28125,5.359375
-5.7304688,5.8320312
-3.4121094,3.5527344
-5.046875,5.0898438
-4.796875,4.890625
-4.2460938,4.3671875
-4.7460938,4.8789062
-4.4804688,4.5273438
-5.3789062,5.4414062
-4.7617188,4.8046875
-4.6601562,4.7617188
-3.8457031,3.9902344
-3.8300781,3.8886719
-4.5429688,4.6132812
-4.9765625,5.0507812
-4.265625,4.3242188
-5.3164062,5.4296875
-4.1328125,4.2460938
-4.3554688,4.484375
-1.3369141,1.4091797
-2.7636719,2.8789062
-4.2617188,4.3359375
-1.8291016,1.8681641
-5.1132812,5.1953125
-5.4570312,5.5390625
-3.3808594,3.4941406
-4.0117188,4.0429688
-4.7617188,4.8359375
-5.0742188,5.2265625
-5.1054688,5.15625
-3.3496094,3.4296875
-5.6757812,5.7851562
-4.2695312,4.3320312
-5.2421875,5.4140625
-5.0625,5.1640625
-4.8398438,4.890625
-4.4296875,4.4804688
-4.6210938,4.6679688
-3.21875,3.2851562
-5.1289062,5.25
-4.3203125,4.4101562
-5.1328125,5.203125
-5.4023438,5.515625
-4.328125,4.4570312
-4.125,4.2382812
-4.5039062,4.5429688
-5.421875,5.5585938
-5.1757812,5.2382812
-3.9023438,3.9472656
-2.9785156,2.9511719
-4.3320312,4.3945312
-4.34375,4.4257812
-2.7734375,2.8242188
-5.0234375,5.1523438
-4.7695312,4.890625
-4.5039062,4.625
-3.7753906,3.859375
-5.1484375,5.1953125
-5.1445312,5.1992188
-4.2070312,4.3203125
-3.703125,3.71875
-5.4296875,5.5703125
-3.7792969,3.8964844
-4.6132812,4.65625
-4.5234375,4.6054688
-5.0078125,5.1210938
-4.78125,4.8046875
-4.5117188,4.5
-4.6953125,4.78125
-5.25,5.3632812
-3.875,3.8847656
-4.1132812,4.2226562
-2.5410156,2.5585938
-4.8046875,4.8984375
-4.9765625,5.1679688
-4.2226562,4.2929688
-4.4257812,4.4804688
-5.3125,5.3828125
-4.7460938,4.8710938
-5.6796875,5.859375
-4.7460938,4.8398438
-5.2460938,5.3632812
-4.8554688,4.953125
-5.4257812,5.5039062
-3.9355469,3.9980469
-5.0117188,5.140625
-4.4179688,4.3828125
-2.7421875,2.7949219
-4.5664062,4.6875
-3.5917969,3.6503906
-3.6445312,3.7539062
-4.8476562,4.8828125
-4.4921875,4.6132812
-5.4179688,5.4609375
-3.0761719,3.1015625
-5.0585938,5.1367188
-4.2148438,4.375
-4.4296875,4.4804688
-5.3554688,5.46875
-4.5820312,4.6523438
-3.4433594,3.4628906
-4.9960938,5.1523438
-5.0078125,5.0351562
-4.5039062,4.578125
-4.4492188,4.5625
-5.109375,5.1835938
-5.2226562,5.3164062
-5.6679688,5.7304688
-4.4414062,4.4609375
-5.1132812,5.2070312
-4.21875,4.3242188
-3.5996094,3.625
-4.3554688,4.5
-4.4921875,4.5820312
-4.9882812,5.078125
-2.3222656,2.4296875
-5.421875,5.4453125
-5.2851562,5.4414062
-4.453125,4.5820312
-2.96875,3.0117188
-5.2617188,5.4023438
-4.4765625,4.5742188
-5.1289062,5.2070312
-5.5195312,5.5820312
-5.2734375,5.265625
-4.5429688,4.578125
-5.5351562,5.5898438
-3.7519531,3.8359375
-3.8828125,4.0
-4.796875,4.8984375
-4.8984375,4.9726562
-4.3632812,4.546875
-4.2226562,4.2929688
-5.4140625,5.4882812
-4.2226562,4.2539062
-4.9023438,4.9570312
-4.5703125,4.640625
-5.453125,5.5898438
